name,overview,id,poster_path,rating,vote_count,adult,director,producer,creator,actors,year_released,genres,keywords
Slow Step,"The story revolves around a romantic triangle formed by the girl Minatsu Nakazato, a young student and softball player; Shu Akiba, a schoolmate; and Naoto Kadomatsu, an up-and-coming boxer. In reality the three-way relationship is more like three-and-a-half, considering that Naoto is in love with Maria... actually Minatsu herself, who`d once disguised herself to escape some evildoers.",105700,https://image.tmdb.org/t/p/w500/l6h6XBBhdVD4lXOwkFPMYrwOoTs.jpg,10.0,1,False,[],[],['Mitsuru Adachi'],[],1991.0,"['Animation', 'Comedy', 'Drama']","['story', 'revolves', 'romantic', 'triangle', 'formed', 'girl', 'Minatsu', 'Nakazato', 'young', 'student', 'softball', 'player', 'Shu', 'Akiba', 'schoolmate', 'Naoto', 'Kadomatsu', 'coming', 'boxer', 'reality', 'way', 'relationship', 'like', 'half', 'considering', 'Naoto', 'love', 'Maria', 'actually', 'Minatsu', 'disguised', 'escape', 'evildoers']"
The Sign,"For as long as Tharn can remember, he's had premonitions about those around him, sensing both the good and the bad. Partners on a team of special investigators, when kind and cheerful Tharn met clever and charming Phaya, it felt as though they'd known each other for a long time.",237411,https://image.tmdb.org/t/p/w500/x9nbRCyOD1WJK13rqrZPleJJoKp.jpg,10.0,1,False,[],[],[],[],2023.0,['Drama'],"['long', 'Tharn', 'remember', 'premonitions', 'sensing', 'good', 'bad', 'Partners', 'team', 'special', 'investigators', 'kind', 'cheerful', 'Tharn', 'met', 'clever', 'charming', 'Phaya', 'felt', 'known', 'long', 'time']"
The Doll Factory,"Iris, an aspiring artist who works in a doll-making shop, and Silas, a reclusive collector, meet by chance in London’s Hyde Park during the construction of The Great Exhibition of 1851. This chance encounter is the start of Silas’ increasingly dark obsession with Iris.",214191,https://image.tmdb.org/t/p/w500/5nSlo6ljpVIPCTUrVxjBjzLI1bQ.jpg,10.0,1,False,[],[],['Charley Miles'],[],2023.0,['Drama'],"['Iris', 'aspiring', 'artist', 'works', 'doll', 'making', 'shop', 'Silas', 'reclusive', 'collector', 'meet', 'chance', 'London', 'Hyde', 'Park', 'construction', 'Great', 'Exhibition', 'chance', 'encounter', 'start', 'Silas', 'increasingly', 'dark', 'obsession', 'Iris']"
Danger,"Danger is an American anthology series which aired on CBS from September 19, 1950 to May 31, 1955. ",23931,https://image.tmdb.org/t/p/w500/7dFZJ2ZJJdcmkp05B9NWlqTJ5tq.jpg,10.0,1,False,[],[],[],[],1950.0,['Drama'],"['Danger', 'American', 'anthology', 'series', 'aired', 'CBS', 'September']"
Unscripted,"Unscripted is an American comedy-drama series that aired on HBO in early 2005. Its title referred to the fact that the series was largely improvised by its performers. The series was executive produced by Steven Soderbergh, George Clooney, and Grant Heslov.",15025,https://image.tmdb.org/t/p/w500/7Pl4nmauF6M9lbH3cssYMUQsToC.jpg,10.0,1,False,[],[],[],[],2005.0,"['Drama', 'Comedy']","['Unscripted', 'American', 'comedy', 'drama', 'series', 'aired', 'HBO', 'early', 'title', 'referred', 'fact', 'series', 'largely', 'improvised', 'performers', 'series', 'executive', 'produced', 'Steven', 'Soderbergh', 'George', 'Clooney', 'Grant', 'Heslov']"
VIP Only,"Gu Jing is a good chef who owns a creative and retro restaurant. He opens his restaurant anytime he wants. Gu Jing finds that there is a boy who always gets the quietest seat, and that boy is Liu Li. Liu Li is a gay-themed novelist who rents a room upstairs from Gu Jing’s restaurant. Gu Jing starts to send Liu Li a bowl of spicy beef noodles. Gu Jing has become the person that Liu Li confides in, the person who keeps him company during the breakup. Gradually, Liu Li realizes that his fantasies may be different from reality.",224479,https://image.tmdb.org/t/p/w500/f7HJlanpyrs3Or3ZBtDU8B8pLbx.jpg,10.0,1,False,[],[],[],[],2023.0,['Drama'],"['Gu', 'Jing', 'good', 'chef', 'owns', 'creative', 'retro', 'restaurant', 'opens', 'restaurant', 'anytime', 'wants', 'Gu', 'Jing', 'finds', 'boy', 'gets', 'quietest', 'seat', 'boy', 'Liu', 'Li', 'Liu', 'Li', 'gay', 'themed', 'novelist', 'rents', 'room', 'upstairs', 'Gu', 'Jing', 'restaurant', 'Gu', 'Jing', 'starts', 'send', 'Liu', 'Li', 'bowl', 'spicy', 'beef', 'noodles', 'Gu', 'Jing', 'person', 'Liu', 'Li', 'confides', 'person', 'keeps', 'company', 'breakup', 'Gradually', 'Liu', 'Li', 'realizes', 'fantasies', 'different', 'reality']"
Potato Star 2013QR3,"A mysterious asteroid crash-lands on Earth in 2013 and causes all sorts of weird things to start happening, specifically to the Noh family and their neighbors.",64770,https://image.tmdb.org/t/p/w500/8HLs1vyor0iHcKKHosrtxWfG8LL.jpg,10.0,1,False,[],[],[],[],2013.0,"['Comedy', 'Drama', 'Family', 'Unknown', 'Sci-Fi & Fantasy']","['mysterious', 'asteroid', 'crash', 'lands', 'Earth', 'causes', 'sorts', 'weird', 'things', 'start', 'happening', 'specifically', 'Noh', 'family', 'neighbors']"
All Elite Wrestling: Collision,"An in-ring show featuring more wrestlers, more stories and more action to super-serve fans.",226687,https://image.tmdb.org/t/p/w500/85ZKXqPiZHjPPxeoR26dyodqHVZ.jpg,10.0,1,False,[],[],['Tony Khan'],[],2023.0,"['Action & Adventure', 'Drama']","['ring', 'featuring', 'wrestlers', 'stories', 'action', 'super', 'serve', 'fans']"
Sexy Tanaka-san,"Plain-looking Tanaka-san from the accounting department is around 40 years old.

She has no friends and no love life, but she does have a secret side... a super sexy belly dancer!

Akari, a temporary employee, appears to be a lovable lady at first glance.

Truth be told, she is increasingly anxious about marriage as she believes her “market value” depends on her youth and cuteness.

Life is starting to become a struggle for Akari, who feels empty despite the slew of matchmaking parties she attends.

One day, Akari learns of her colleague Tanaka-san’s true identity, which inspires her to live life in her own way.

They are polar opposites, but their chemistry empowers them to blow off those who judge them. In the process, they discover their new selves.

Don’t miss this romcom that is guaranteed to leave you in stitches constantly, with an occasional dash of tears.",231742,https://image.tmdb.org/t/p/w500/fXqavJ2NA9T7w9mD3lnpHoa2Owm.jpg,10.0,1,False,[],[],[],[],2023.0,"['Comedy', 'Drama']","['Plain', 'looking', 'Tanaka', 'san', 'accounting', 'department', 'years', 'old', 'friends', 'love', 'life', 'secret', 'super', 'sexy', 'belly', 'dancer', 'Akari', 'temporary', 'employee', 'appears', 'lovable', 'lady', 'glance', 'Truth', 'told', 'increasingly', 'anxious', 'marriage', 'believes', 'market', 'value', 'depends', 'youth', 'cuteness', 'Life', 'starting', 'struggle', 'Akari', 'feels', 'despite', 'slew', 'matchmaking', 'parties', 'attends', 'day', 'Akari', 'learns', 'colleague', 'Tanaka', 'san', 'true', 'identity', 'inspires', 'live', 'life', 'way', 'polar', 'opposites', 'chemistry', 'empowers', 'blow', 'judge', 'process', 'discover', 'new', 'selves', 'miss', 'romcom', 'guaranteed', 'leave', 'stitches', 'constantly', 'occasional', 'dash', 'tears']"
USA High,"USA High is an American teen sitcom which ran from August 1997 to June 1999, and ended after 95 episodes, and reran until August 4, 2001 on the USA Network.",1792,https://image.tmdb.org/t/p/w500/it9TFva1WQIBZzMawgWYi92bBiK.jpg,10.0,4,False,[],[],['Peter Engel'],[],1997.0,"['Drama', 'Mystery']","['USA', 'High', 'American', 'teen', 'sitcom', 'ran', 'August', 'June', 'ended', 'episodes', 'reran', 'August', 'USA', 'Network']"
General Hospital: Night Shift,"General Hospital: Night Shift is an American prime time serial that first aired on Soapnet for a 13-episode run from July 12, 2007 to October 4, 2007. A spin-off of the ABC Daytime soap opera General Hospital, the show is SOAPnet's first original scripted drama series and follows the nighttime adventures of familiar and new characters around the hospital. As of March 2008, the first season of the series was ""SOAPnet's most watched series ever,"" with ABC Daytime and SOAPnet President Brian Frons noting that Night Shift drew more than 1 million new viewers to the channel during its first season. With its reruns gaining higher ratings than those of General Hospital on SOAPnet, a second season was expected, though Frons noted that the same crew producing two shows had taken its toll.

It was announced in May 2008 that Lisa de Cazotte would serve as Executive producer for season two, joined by Head writer Sri Rao. The 14 new episodes of Night Shift began taping in high-definition in June 2008, with the series airing Tuesdays at 11 p.m. and premiering on July 22, 2008. SOAPnet said the second season ""will feature new and returning characters as well as the return of 'legacy' characters from GH. In addition, the continuity between story lines on Night Shift and GH will match."" The second season finished its run on October 21, 2008.",2783,https://image.tmdb.org/t/p/w500/zUNX35LkftY9bUZmnM5zjuJyvzk.jpg,10.0,2,False,[],[],['Robert Guza Jr.'],[],2007.0,['Drama'],"['General', 'Hospital', 'Night', 'Shift', 'American', 'prime', 'time', 'serial', 'aired', 'Soapnet', 'episode', 'run', 'July', 'October', 'spin', 'ABC', 'Daytime', 'soap', 'opera', 'General', 'Hospital', 'SOAPnet', 'original', 'scripted', 'drama', 'series', 'follows', 'nighttime', 'adventures', 'familiar', 'new', 'characters', 'hospital', 'March', 'season', 'series', 'SOAPnet', 'watched', 'series', 'ABC', 'Daytime', 'SOAPnet', 'President', 'Brian', 'Frons', 'noting', 'Night', 'Shift', 'drew', 'million', 'new', 'viewers', 'channel', 'season', 'reruns', 'gaining', 'higher', 'ratings', 'General', 'Hospital', 'SOAPnet', 'second', 'season', 'expected', 'Frons', 'noted', 'crew', 'producing', 'shows', 'taken', 'toll', 'announced', 'Lisa', 'de', 'Cazotte', 'serve', 'Executive', 'producer', 'season', 'joined', 'Head', 'writer', 'Sri', 'Rao', 'new', 'episodes', 'Night', 'Shift', 'began', 'taping', 'high', 'definition', 'June', 'series', 'airing', 'Tuesdays', 'premiering', 'July', 'SOAPnet', 'said', 'second', 'season', 'feature', 'new', 'returning', 'characters', 'return', 'legacy', 'characters', 'GH', 'addition', 'continuity', 'story', 'lines', 'Night', 'Shift', 'GH', 'match', 'second', 'season', 'finished', 'run', 'October']"
Bandini,"Bandini was an Indian soap opera produced by Ekta Kapoor of Balaji Telefilms. The show aired Monday to Friday evenings. The show is the longest running program of Imagine TV at 520 episodes. It starred Ronit Roy and Aasiya Kazi and was set against the backdrop of Gujarat in Dharampur a village near Surat in Gujarat. The show premiered on January 19, 2009 on NDTV Imagine.",16378,https://image.tmdb.org/t/p/w500/dbHbBcFOniIjLaJp6EhAFxn3UDv.jpg,10.0,1,False,[],[],[],[],2009.0,"['Soap', 'Drama']","['Bandini', 'Indian', 'soap', 'opera', 'produced', 'Ekta', 'Kapoor', 'Balaji', 'Telefilms', 'aired', 'Monday', 'Friday', 'evenings', 'longest', 'running', 'program', 'Imagine', 'TV', 'episodes', 'starred', 'Ronit', 'Roy', 'Aasiya', 'Kazi', 'set', 'backdrop', 'Gujarat', 'Dharampur', 'village', 'near', 'Surat', 'Gujarat', 'premiered', 'January', 'NDTV', 'Imagine']"
Chinna Thambi,"Two people, who are poles apart, find love in each other. However, they face several problems because they belong to different cultures.",80929,https://image.tmdb.org/t/p/w500/jG0NkAFEJNuREdQzmsu33C9JVWJ.jpg,10.0,1,False,[],[],['Raja Velu'],[],2017.0,"['Drama', 'Comedy']","['people', 'poles', 'apart', 'find', 'love', 'face', 'problems', 'belong', 'different', 'cultures']"
Miotsukushi,"In the early Showa era, the town of Choshi in Chiba Prefecture was divided by the conflicts between the worlds of ""land"" and ""sea"". Born to Kyubei Bando, the owner of a long-established soy sauce brewery, and his mistress Rui, Kaworu was taken in by her father and raised as a prim and proper lady. As she grew up, she fell in love with Sokichi, the eldest son of an established fisherman; alas, their two families were in conflict. This is a story of pure love between two people that grew beyond the boundaries of the old customs that they were brought up with. It is a drama that depicts their turbulent journey of love and the bonds of the people from an old and established family working tirelessly to protect their naturally brewed soy sauce business through the ups and downs.",107261,https://image.tmdb.org/t/p/w500/iFhq7L6YI8BAWp7OsQznV0jOXPh.jpg,10.0,1,False,[],[],['James Miki'],[],1985.0,"['Drama', 'Family']","['early', 'Showa', 'era', 'town', 'Choshi', 'Chiba', 'Prefecture', 'divided', 'conflicts', 'worlds', 'land', 'sea', 'Born', 'Kyubei', 'Bando', 'owner', 'long', 'established', 'soy', 'sauce', 'brewery', 'mistress', 'Rui', 'Kaworu', 'taken', 'father', 'raised', 'prim', 'proper', 'lady', 'grew', 'fell', 'love', 'Sokichi', 'eldest', 'son', 'established', 'fisherman', 'alas', 'families', 'conflict', 'story', 'pure', 'love', 'people', 'grew', 'boundaries', 'old', 'customs', 'brought', 'drama', 'depicts', 'turbulent', 'journey', 'love', 'bonds', 'people', 'old', 'established', 'family', 'working', 'tirelessly', 'protect', 'naturally', 'brewed', 'soy', 'sauce', 'business', 'ups', 'downs']"
A Soldier's Heart,"The story of the soldiers of the 4th Infantry Division of the Philippine Army and their actions during combat. Through multiple perspectives, the story focuses on these soldiers, mainly: Alex Marasigan, an IT expert who quits his desk job and joins because just like his brother, he wants to serve the country, Abraham ""Abe"" Kamlun, a Tausug Muslim man, who, despite his family's opposition of the move, joins the Army nonetheless, and Michael Mendoza, a boy who joins the Army to provide for his family.",101957,https://image.tmdb.org/t/p/w500/yTQ5neWjZuiDim9uZwVXPRE1twt.jpg,10.0,2,False,[],[],['Charo Santos-Concio'],[],2020.0,"['Action & Adventure', 'Drama']","['story', 'soldiers', 'Infantry', 'Division', 'Philippine', 'Army', 'actions', 'combat', 'multiple', 'perspectives', 'story', 'focuses', 'soldiers', 'mainly', 'Alex', 'Marasigan', 'expert', 'quits', 'desk', 'job', 'joins', 'like', 'brother', 'wants', 'serve', 'country', 'Abraham', 'Abe', 'Kamlun', 'Tausug', 'Muslim', 'man', 'despite', 'family', 'opposition', 'joins', 'Army', 'nonetheless', 'Michael', 'Mendoza', 'boy', 'joins', 'Army', 'provide', 'family']"
The Rain in España,"Based on a hit Wattpad novel with more than 130 million reads. Luna and Kalix were still students, when their budding romance was cut short. Years after, fate finds a way for them to work together on a special project.",213738,https://image.tmdb.org/t/p/w500/pSsE9JTXtk1injjffpWlIqxMIaX.jpg,10.0,2,False,[],[],[],[],2023.0,"['Drama', 'Comedy']","['Based', 'hit', 'Wattpad', 'novel', 'million', 'reads', 'Luna', 'Kalix', 'students', 'budding', 'romance', 'cut', 'short', 'Years', 'fate', 'finds', 'way', 'work', 'special', 'project']"
A Shelter for Love,"Un refugio para el amor is a Mexican Spanish-language telenovela produced by Ignacio Sada Madero for Televisa. It is a remake of the Venezuelan telenovela La Zulianita, written by Delia Fiallo and adapted by Nora Alemán and Georgina Tinoco. Zuria Vega and Gabriel Soto star as the main protagonists, while Jessica Coch, Humberto Elizondo, Laura Flores and Frances Ondiviela star as the main antagonists.",42066,https://image.tmdb.org/t/p/w500/6XBkx9nu4pPumJZGXnH6SLimCEg.jpg,10.0,1,False,[],[],['Delia Fiallo'],[],2012.0,"['Soap', 'Drama']","['Un', 'refugio', 'para', 'el', 'amor', 'Mexican', 'Spanish', 'language', 'telenovela', 'produced', 'Ignacio', 'Sada', 'Madero', 'Televisa', 'remake', 'Venezuelan', 'telenovela', 'La', 'Zulianita', 'written', 'Delia', 'Fiallo', 'adapted', 'Nora', 'Alemán', 'Georgina', 'Tinoco', 'Zuria', 'Vega', 'Gabriel', 'Soto', 'star', 'main', 'protagonists', 'Jessica', 'Coch', 'Humberto', 'Elizondo', 'Laura', 'Flores', 'Frances', 'Ondiviela', 'star', 'main', 'antagonists']"
Redemption,"Orhun is a successful businessman who was raised in a wealthy but loveless family along with his twin sister Nihan,younger sister Nurşah and their cold,distant mother Afife. Nihan left to do volunteer work as a doctor in Eritrea, but recently she has been impossible to contact, and her family is worried about her. While looking for his sister, he comes across Hira, a poor girl living the life of a prisoner at the hands of traffickers. When they find out that Nihan has been poisoned and killed by a local gang, Orhun breaks down. When it emerges that it was actually Hira who poisoned his sister, Orhun hatches an evil revenge plan. Meanwhile, Afife, their mother, has kept Orhun's father away since his childhood secretly. Orhun decides to marry Hira as revenge. Afife hates people of lower status and she’s obsessed with “pure blood”. Will this marriage imprison Afife ,or will the couple find redemption after paying all their dues?",215709,https://image.tmdb.org/t/p/w500/d1YiLLhjGnCoC0D4G0ri2MloFqO.jpg,10.0,3,False,[],[],['Ayhan Özen'],[],2022.0,['Drama'],"['Orhun', 'successful', 'businessman', 'raised', 'wealthy', 'loveless', 'family', 'twin', 'sister', 'Nihan', 'younger', 'sister', 'Nurşah', 'cold', 'distant', 'mother', 'Afife', 'Nihan', 'left', 'volunteer', 'work', 'doctor', 'Eritrea', 'recently', 'impossible', 'contact', 'family', 'worried', 'looking', 'sister', 'comes', 'Hira', 'poor', 'girl', 'living', 'life', 'prisoner', 'hands', 'traffickers', 'find', 'Nihan', 'poisoned', 'killed', 'local', 'gang', 'Orhun', 'breaks', 'emerges', 'actually', 'Hira', 'poisoned', 'sister', 'Orhun', 'hatches', 'evil', 'revenge', 'plan', 'Afife', 'mother', 'kept', 'Orhun', 'father', 'away', 'childhood', 'secretly', 'Orhun', 'decides', 'marry', 'Hira', 'revenge', 'Afife', 'hates', 'people', 'lower', 'status', 'obsessed', 'pure', 'blood', 'marriage', 'imprison', 'Afife', 'couple', 'find', 'redemption', 'paying', 'dues']"
You'll Never Know,"Onur Karasu is a successful intelligence agent who was promoted to head of the department at a young age and has been after Civan Koral, the owner of Turkey's largest jewelry company. Onur, who thinks that Civan keeps the documents related to his illegal business in the safe in his house, becomes lovers with Civan's sister Hilal  in order to get in and out of the house. When he learns that Civan will move abroad, Onur makes a sudden decision to propose to Hilal in order to get the documents without letting her get away. He plans to open the safe on their engagement day and arrest Civan, who is there for his sister's engagement. What he doesn't take into account is Hilal's close friend Ece. While Ece is trying to figure out what Onur is up to, her plans are upset when Onur catches her. Onur and Ece, two poles as opposite as day and night, will have to work together in a way they never wanted to.",49933,https://image.tmdb.org/t/p/w500/irINWF0Y3iCA6ib4OrDrY94YEUy.jpg,10.0,4,False,[],[],['Aytaç Çiçek'],[],2023.0,"['Drama', 'Comedy', 'Soap']","['Onur', 'Karasu', 'successful', 'intelligence', 'agent', 'promoted', 'head', 'department', 'young', 'age', 'Civan', 'Koral', 'owner', 'Turkey', 'largest', 'jewelry', 'company', 'Onur', 'thinks', 'Civan', 'keeps', 'documents', 'related', 'illegal', 'business', 'safe', 'house', 'lovers', 'Civan', 'sister', 'Hilal', 'order', 'house', 'learns', 'Civan', 'abroad', 'Onur', 'makes', 'sudden', 'decision', 'propose', 'Hilal', 'order', 'documents', 'letting', 'away', 'plans', 'open', 'safe', 'engagement', 'day', 'arrest', 'Civan', 'sister', 'engagement', 'account', 'Hilal', 'close', 'friend', 'Ece', 'Ece', 'trying', 'figure', 'Onur', 'plans', 'upset', 'Onur', 'catches', 'Onur', 'Ece', 'poles', 'opposite', 'day', 'night', 'work', 'way', 'wanted']"
Temptation Island (RO),"Couples, temptations and an island full of traps, these are the key elements of the reality show presented by Radu Vâlcan. In the end, only true love can pass the test, and the couples entering the competition will find out if they are connected only by habit or, on the contrary, by sincere and strong feelings. The ultimate test of love and trust will be given by the couples who will return from Thailand totally changed.",62767,https://image.tmdb.org/t/p/w500/7CqOIzIKaBaIzLQjCIcMynZw5Gd.jpg,10.0,2,False,[],[],"['Emilia Vlad', 'Bogdan Oancea']",[],2015.0,"['Reality', 'Drama']","['Couples', 'temptations', 'island', 'traps', 'key', 'elements', 'reality', 'presented', 'Radu', 'Vâlcan', 'end', 'true', 'love', 'pass', 'test', 'couples', 'entering', 'competition', 'find', 'connected', 'habit', 'contrary', 'sincere', 'strong', 'feelings', 'ultimate', 'test', 'love', 'trust', 'given', 'couples', 'return', 'Thailand', 'totally', 'changed']"
Only for Love,"Zheng Shu Yi, a reporter who excels at her job and is determined to land a front-page story, has tried very hard to earn an exclusive interview with top financial executive Shi Yan. Their love story then blossoms due to a mistake. Zheng Shu Yi has written numerous reports through her in-depth research of various industries while Shi Yan is constantly looking for socially responsible start-ups to invest in as he hopes to give back to society as much as he can. Shi Yan finds that Zheng Shu Yi's opinions conveyed through her reports coincide with his own, so he agrees to let her write a series of reports on their company. The two eventually open up new opportunities in their career and also find love.",233194,https://image.tmdb.org/t/p/w500/aSDZcX0FIJJRMNiL7n9J39LyK46.jpg,10.0,2,False,[],[],['Qiao Yao'],[],2023.0,['Drama'],"['Zheng', 'Shu', 'Yi', 'reporter', 'excels', 'job', 'determined', 'land', 'page', 'story', 'tried', 'hard', 'earn', 'exclusive', 'interview', 'financial', 'executive', 'Shi', 'Yan', 'love', 'story', 'blossoms', 'mistake', 'Zheng', 'Shu', 'Yi', 'written', 'numerous', 'reports', 'depth', 'research', 'industries', 'Shi', 'Yan', 'constantly', 'looking', 'socially', 'responsible', 'start', 'ups', 'invest', 'hopes', 'society', 'Shi', 'Yan', 'finds', 'Zheng', 'Shu', 'Yi', 'opinions', 'conveyed', 'reports', 'coincide', 'agrees', 'let', 'write', 'series', 'reports', 'company', 'eventually', 'open', 'new', 'opportunities', 'career', 'find', 'love']"
Playboyy,"When Zouey's best friend Nant goes missing his twin brother Nont comes to investigate. Zouey joins force with First to help Nont solve the case. Delving into Nant's past, the trio find themselves entering a dark communities of the sex industry, illegal pornography, online hook-ups with drug dealing, covert sex work and sex-love revenge exposing human's darkest nature. In the meantime, Zouey—who's afraid of sex—is seduced by his nude model Teena while First delves so deep into the ecstasy of sex when met with Soong, an ex-sex worker, that he might become sex-addicted.

Will they find the missing person? Or will they discover some hidden truth about themselves through this daunting journey?",231260,https://image.tmdb.org/t/p/w500/at246UapGh97fyp7JQMyaNAglrd.jpg,10.0,2,False,[],[],[],[],2023.0,"['Drama', 'Mystery']","['Zouey', 'best', 'friend', 'Nant', 'goes', 'missing', 'twin', 'brother', 'Nont', 'comes', 'investigate', 'Zouey', 'joins', 'force', 'help', 'Nont', 'solve', 'case', 'Delving', 'Nant', 'past', 'trio', 'find', 'entering', 'dark', 'communities', 'sex', 'industry', 'illegal', 'pornography', 'online', 'hook', 'ups', 'drug', 'dealing', 'covert', 'sex', 'work', 'sex', 'love', 'revenge', 'exposing', 'human', 'darkest', 'nature', 'meantime', 'Zouey', 'afraid', 'sex', 'seduced', 'nude', 'model', 'Teena', 'delves', 'deep', 'ecstasy', 'sex', 'met', 'Soong', 'ex', 'sex', 'worker', 'sex', 'addicted', 'find', 'missing', 'person', 'discover', 'hidden', 'truth', 'daunting', 'journey']"
Another Power,"The first scenes of the telenovela Another Power were recorded at Palermo and Tonnara di Scopello two cities in Italy.

One of the most impressive scenes was the terrible explosion of a car where were Tony Castellamare’s wife and their twin daughters; after he arrive at the crime scene, he testified the explosion causing the death of his family.",17430,https://image.tmdb.org/t/p/w500/92Ie3voJ8hsPYy9Djdzg3CIwTHA.jpg,10.0,2,False,[],[],['Lauro César Muniz'],[],2009.0,"['Soap', 'Drama']","['scenes', 'telenovela', 'Power', 'recorded', 'Palermo', 'Tonnara', 'di', 'Scopello', 'cities', 'Italy', 'impressive', 'scenes', 'terrible', 'explosion', 'car', 'Tony', 'Castellamare', 'wife', 'twin', 'daughters', 'arrive', 'crime', 'scene', 'testified', 'explosion', 'causing', 'death', 'family']"
Oishinbo,"The newspaper office, Tozai Shinbun, plans to publish the Ultimate Menu to commemorate their 100th anniversary. It would not only describe foods but also pass on dietary cultures for many generations to come. Despite its importance, Shirou Yamaoka, a lazy employee, and Yuuko Kurita, a company newcomer, are selected as the editors.",34800,https://image.tmdb.org/t/p/w500/ovD54crDX2jSTU742GrILS8ux08.jpg,10.0,1,False,[],[],[],[],1988.0,"['Animation', 'Drama']","['newspaper', 'office', 'Tozai', 'Shinbun', 'plans', 'publish', 'Ultimate', 'Menu', 'commemorate', 'anniversary', 'describe', 'foods', 'pass', 'dietary', 'cultures', 'generations', 'come', 'Despite', 'importance', 'Shirou', 'Yamaoka', 'lazy', 'employee', 'Yuuko', 'Kurita', 'company', 'newcomer', 'selected', 'editors']"
The Sea Sun,"""Le Soleil De Mer"" is a fast-paced soap opera that blends romance, crime, and passion. With its thrilling three-episode-per-week release schedule, it offers an addictive mix of drama and suspense for viewers.",226924,https://image.tmdb.org/t/p/w500/19AEsm3cuC0ViRnCN2eButBOw4Z.jpg,10.0,1,False,[],[],['Mathis Duret'],[],2020.0,"['Soap', 'Comedy', 'Drama', 'Mystery']","['Le', 'Soleil', 'De', 'Mer', 'fast', 'paced', 'soap', 'opera', 'blends', 'romance', 'crime', 'passion', 'thrilling', 'episode', 'week', 'release', 'schedule', 'offers', 'addictive', 'mix', 'drama', 'suspense', 'viewers']"
Beyhadh,"Maya falls in love with Arjun while working on an assignment. But soon, her love for him turns into an obsession, affecting their relationship with each other and their respective family members.",68344,https://image.tmdb.org/t/p/w500/wnwjQjD8cG7tSyvJEstMqlFMKHS.jpg,10.0,1,False,[],[],[],[],2016.0,['Drama'],"['Maya', 'falls', 'love', 'Arjun', 'working', 'assignment', 'soon', 'love', 'turns', 'obsession', 'affecting', 'relationship', 'respective', 'family', 'members']"
Boundless Love,"When he was a little child, Halil İbrahim lost his father due to a blood feud and was exiled to Istanbul. Twenty years later, he returns to his homeland in the Karadeniz region as a handsome, powerful young man. He plans to marry the girl he loves, Yasemin, and start a new life. However, events do not allow this. Halil İbrahim embarks on a journey of revenge, and his life will change completely when he encounters Zeynep from the Leto family.",231100,https://image.tmdb.org/t/p/w500/60RxoQV8HSijTzQYuz3g57KfhmE.jpg,10.0,1,False,[],[],['Murat Öztürk'],[],2023.0,"['Drama', 'Crime']","['little', 'child', 'Halil', 'İbrahim', 'lost', 'father', 'blood', 'feud', 'exiled', 'Istanbul', 'years', 'later', 'returns', 'homeland', 'Karadeniz', 'region', 'handsome', 'powerful', 'young', 'man', 'plans', 'marry', 'girl', 'loves', 'Yasemin', 'start', 'new', 'life', 'events', 'allow', 'Halil', 'İbrahim', 'embarks', 'journey', 'revenge', 'life', 'change', 'completely', 'encounters', 'Zeynep', 'Leto', 'family']"
If It's with You,"When high school student Amane transfers to a school in Enoshima, he meets Ryuji, a kind-hearted classmate, and the two begin to grow closer and more attracted to each other. Will Amane, who has a hard time falling in love, change because of Ryuji?",234967,https://image.tmdb.org/t/p/w500/yCC6jjHPNxV71jUeHWEdUfFUn1P.jpg,10.0,2,False,[],[],['Kubota Maru'],[],2023.0,['Drama'],"['high', 'school', 'student', 'Amane', 'transfers', 'school', 'Enoshima', 'meets', 'Ryuji', 'kind', 'hearted', 'classmate', 'begin', 'grow', 'closer', 'attracted', 'Amane', 'hard', 'time', 'falling', 'love', 'change', 'Ryuji']"
