name,id,tags
Tagesschau,94722,News  German daily news program oldest existing program German television 7.094    
Elas por Elas,219109,Comedy Mystery Soap Drama  Seven friends met youth English course meet years later Lara Taís Helena Adriana Renée Natália Carol different personality origin share deep affection 6.533  Alessandro Marson Thereza Falcão  
Gran hermano VIP,82250,Reality   3.818  John de Mol  
Stardance XII ...kolem dokola,237200,   7.0    
Temptation Island India,238766,Reality  Relationships ka hoga ab ultimate test love survive temptations Watch biggest hottest dating reality India JioCinema 8.0  Jessu George  
Land of Desire,209265,Drama Crime Soap  husband killed land grabbing attempt Aline takes charge cultivating land protecting family Facing powerful Antonio La Selva responsible death husband largest landowner region Aline determined possession land invest production expect fall love Daniel son rival odds rebellious half brother Caio turn falls love girl interior Brazil Aline fight battles dispute lands heart 6.5  Walcyr Carrasco  
Mom for rent,218145,Family Comedy  Abandoned wife Martin lying daughter upset Hanka grows lies unbearable Martin meets Nada unexpectedly asked rent mother lives completely changed 5.667  Matúš Libovič Miloslav Volný  
Fuzue,213026,Comedy Soap  department store Fuzue specialized popular items success led Nero Braga e Silva Little know store grounds hidden relics years 5.81  Gustavo Reiz  
Monarch: Legacy of Monsters,202411,Drama Sci-Fi & Fantasy Action & Adventure  surviving Godzilla attack San Francisco Cate shaken shocking secret Amid monstrous threats embarks globetrotting adventure learn truth family mysterious organization known Monarch 8.429  Matt Fraction Chris Black  
Al rojo vivo,101463,News Talk  Al rojo vivo program laSexta focused analysis debate national international political current affairs format hosted directed Antonio García Ferreras produced News Services laSexta 3.432  Antonio García Ferreras  
Queridos Papás,217510,Soap   4.0  Maria João Mira  
Come Home Love: Lo and Behold,91759,Family Comedy Drama  Hung Sue Gan starting established logistics company running smoothly concern daughters eldest daughter immigrated overseas second daughter Hung Yeuk Shui reached marriageable age hopes marriage anytime soon constantly bickering younger sister Hung Sum Yue honour student trivial matters causing father know laugh cry Hung Sue Yan Hung Sue Gan brother moves family temporarily ending life nomadic photographer joins Hung Yeuk Shui company encounters Ko Pak Fei director online shop appear lovers making lots laughter Hung Sue Yan moved series strange events occurred family investigation source traced Lung Ging Fung promising young man son department store mogul Lung Gam Wai 5.333    
