name,tvId,userId,rating
Rick and Morty,60625,adishake,9.0
Rick and Morty,60625,GenerationofSwine,10.0
Grey's Anatomy,1416,retratodeumajovememchamas,1.0
Grey's Anatomy,1416,GenerationofSwine,1.0
The Simpsons,456,Thomaxz,10.0
The Simpsons,456,dgood826,
The Simpsons,456,MovieGuys,
The Simpsons,456,AdamRife,
The Simpsons,456,GenerationofSwine,5.0
Invincible,95557,ChrisSawin,10.0
Loki,84958,mohammadsi20,10.0
Loki,84958,msbreviews,8.0
Loki,84958,TitanGusang,9.0
Loki,84958,MonsterMartha,6.0
Loki,84958,PhilTheBronxite,10.0
Loki,84958,Ditendra,
Doctor Who,57243,pjgs,10.0
Doctor Who,57243,MovieGuys,
Doctor Who,57243,ViscerusMorscer,7.0
Doctor Who,57243,Intergalacticified,
Supernatural,1622,MovieGuys,
Supernatural,1622,Fox.red,
Supernatural,1622,fkbud66,7.0
Doctor Who,57243,pjgs,10.0
Doctor Who,57243,MovieGuys,
Doctor Who,57243,ViscerusMorscer,7.0
Doctor Who,57243,Intergalacticified,
Wednesday,119051,UtileDulci,1.0
Wednesday,119051,nrichardson85,9.0
Wednesday,119051,ProPriyam,4.0
Wednesday,119051,astrobestastrologer,
Wednesday,119051,Crazypiglady,5.0
Midsomer Murders,764,narrator56,7.0
Friends,1668,Peter89Spencer,8.0
Castle,1419,PolyWogg,
Castle,1419,Arcanum101,8.0
Yellowstone,73586,nickmista,3.0
House,1408,Ibraheem...,7.0
House,1408,Arcanum101,8.0
The Good Doctor,71712,drtvnut89,10.0
The Good Doctor,71712,f117qaz,
The Good Doctor,71712,hunghm99,10.0
The Good Doctor,71712,Ditendra,4.0
The Good Doctor,71712,JustEntertainment,3.0
Star Trek,253,StoneMonkeyMark,7.0
Star Trek,253,Peter89Spencer,8.0
Star Trek,253,goththug,
Star Trek,253,GenerationofSwine,10.0
Lucifer,63174,Rangan,
Lucifer,63174,Godhand,
Lucifer,63174,DallasBob,2.0
Lucifer,63174,Dragonella,10.0
Lucifer,63174,DracoLabs,
The Flash,60735,Tanasia,
The Flash,60735,BruhDev,6.0
The Flash,60735,ddnnacheta,6.0
The Rookie,79744,superbro,10.0
The Blacklist,46952,TWDs,9.0
The Blacklist,46952,suspectedowl,10.0
The Sopranos,1398,GenerationofSwine,10.0
Columbo,873,GenerationofSwine,10.0
NCIS,4614,drystyx,1.0
The Mentalist,5920,Arcanum101,9.0
Vikings,44217,MovieGuys,
Vikings,44217,rspen46,10.0
Peaky Blinders,60574,rsanek,10.0
Peaky Blinders,60574,tmdb83536887,7.0
Peaky Blinders,60574,Idontcarelol77,1.0
The Vampire Diaries,18165,Ditendra,4.0
The Vampire Diaries,18165,gnawbone,5.0
SPY x FAMILY,120089,tmdb47322441,1.0
SPY x FAMILY,120089,bcorrel2,10.0
SPY x FAMILY,120089,Agterbosch,10.0
SPY x FAMILY,120089,yukiitachi,9.0
The Walking Dead,1402,tmdb38541732,6.0
The Walking Dead,1402,lukan87,10.0
The Walking Dead,1402,benefits247,1.0
The Walking Dead,1402,mattgibs0nn,10.0
The Walking Dead,1402,MovieGuys,
The Walking Dead,1402,lynalouisa,10.0
The Walking Dead,1402,Ditendra,4.0
The Walking Dead,1402,r96sk,10.0
The Walking Dead,1402,FolioSwami,10.0
The Walking Dead,1402,SilkyChrissy,
American Horror Story,1413,Bertaut,8.0
American Horror Story,1413,Bertaut,8.0
Fear the Walking Dead,62286,Ditendra,6.0
Fear the Walking Dead,62286,dnice516,
Shameless,34307,GHeart,10.0
Squid Game,93405,oppai69,
Squid Game,93405,Hachado,7.0
Malcolm in the Middle,2004,Thomaxz,9.0
Breaking Bad,1396,slyone10001,10.0
Breaking Bad,1396,Ditendra,10.0
Breaking Bad,1396,l33t5p34k3r,9.0
Breaking Bad,1396,drystyx,3.0
Chucky,90462,ninoblacque,8.0
Futurama,615,adishake,8.0
Futurama,615,AdamRife,
Futurama,615,michaelck,10.0
Futurama,615,movielover321,
Futurama,615,MovieGuys,4.0
Gen V,205715,MovieGuys,1.0
Gen V,205715,TwoZPlex,10.0
Gen V,205715,IndecentLouie,6.0
Futurama,615,adishake,8.0
Futurama,615,AdamRife,
Futurama,615,michaelck,10.0
Futurama,615,movielover321,
Futurama,615,MovieGuys,4.0
Gen V,205715,MovieGuys,1.0
Gen V,205715,TwoZPlex,10.0
Gen V,205715,IndecentLouie,6.0
Stranger Things,66732,Ditendra,9.0
Stranger Things,66732,msbreviews,8.0
Stranger Things,66732,MovieGuys,8.0
Stranger Things,66732,GenerationofSwine,10.0
Stranger Things,66732,JN2012,
The Boys,76479,YouShouldKnow,6.0
The Boys,76479,Lenny_H,8.0
The Boys,76479,josalarcon2,9.0
The Boys,76479,JustEntertainment,6.0
The Boys,76479,GenerationofSwine,8.0
Young Sheldon,71728,drystyx,7.0
Two and a Half Men,2691,Ibraheem...,6.0
Richard Osman's House of Games,103960,teabow,5.0
Richard Osman's House of Games,103960,teabow,5.0
Richard Osman's House of Games,103960,teabow,5.0
Star Trek: Voyager,1855,H2Obsession,8.0
Star Trek: Voyager,1855,GenerationofSwine,7.0
Star Trek: Voyager,1855,Arcanum101,10.0
Seinfeld,1400,tmdb81799156,10.0
South Park,2190,GenerationofSwine,10.0
South Park,2190,smirno,
Smallville,4604,Olmo,6.0
The Office,2316,jsayer7,
Arrow,1412,MovieGuys,
Arrow,1412,Peter89Spencer,10.0
Arrow,1412,misubisu,7.0
Arrow,1412,GenerationofSwine,1.0
Buffy the Vampire Slayer,95,Joeisacoolguy,9.0
Buffy the Vampire Slayer,95,GenerationofSwine,10.0
Sons of Anarchy,1409,Ditendra,10.0
Sons of Anarchy,1409,FolioSwami,1.0
Monk,1695,ShadowJRJ,8.0
The Walking Dead: Daryl Dixon,211684,DANEO,
The Walking Dead: Daryl Dixon,211684,MovieGuys,4.0
9-1-1,75219,cortneyhow,7.0
9-1-1,75219,GenerationofSwine,1.0
9-1-1,75219,Chioveanu,10.0
9-1-1,75219,Ditendra,8.0
Dexter,1405,VanVliet,10.0
Dexter,1405,LovingStory,8.0
Dexter,1405,willhess17,10.0
Euphoria,85552,tmdb15214618,8.0
Euphoria,85552,prettyjoanna,
Euphoria,85552,Contributing-Jim,10.0
Cheers,141,Peter89Spencer,8.0
Stargate SG-1,4629,GenerationofSwine,10.0
Psych,1447,showlover1233,10.0
Psych,1447,GenerationofSwine,10.0
M*A*S*H,918,Peter89Spencer,9.0
M*A*S*H,918,drystyx,4.0
The Railway Men - The Untold Story of Bhopal 1984,213895,Ditendra,10.0
