tvId,userId,rating
60625,106,9
60625,1576,10
1416,3,1
1416,1576,1
456,1561,10
456,1576,5
95557,649,10
84958,11,10
84958,923,8
84958,727,9
84958,709,6
84958,728,10
57243,24,10
57243,1002,7
1622,23,7
57243,24,10
57243,1002,7
119051,28,1
119051,29,9
119051,30,4
119051,1259,5
764,1594,7
1668,1542,8
1419,1243,8
73586,37,3
1408,453,7
1408,1243,8
71712,40,10
71712,42,10
71712,1436,4
71712,122,3
253,45,7
253,1542,8
253,1576,10
63174,1312,2
63174,462,10
60735,55,6
60735,696,6
79744,57,10
46952,613,9
46952,59,10
1398,1576,10
873,1576,10
4614,1352,1
5920,1243,9
44217,270,10
60574,1464,10
60574,67,7
60574,68,1
18165,1436,4
18165,1277,5
120089,71,1
120089,1205,10
120089,904,10
120089,74,9
1402,75,6
1402,76,10
1402,1513,1
1402,78,10
1402,80,10
1402,1436,4
1402,1567,10
1402,1569,10
1413,1541,8
1413,1541,8
62286,1436,6
34307,89,10
93405,172,7
2004,1561,9
1396,93,10
1396,1436,10
1396,95,9
1396,1352,3
90462,97,8
615,106,8
615,108,10
615,1595,4
205715,1595,1
205715,112,10
205715,1574,6
615,106,8
615,108,10
615,1595,4
205715,1595,1
205715,112,10
205715,1574,6
66732,1436,9
66732,923,8
66732,1595,8
66732,1576,10
76479,1286,6
76479,120,8
76479,121,9
76479,122,6
76479,1576,8
71728,1352,7
2691,453,6
103960,1472,5
103960,1472,5
103960,1472,5
1855,129,8
1855,1576,7
1855,1243,10
1400,132,10
2190,1576,10
4604,850,6
1412,1542,10
1412,1456,7
1412,1576,1
95,312,9
95,1576,10
1409,1436,10
1409,1569,1
1695,145,8
211684,1595,4
75219,802,7
75219,1576,1
75219,190,10
75219,1436,8
1405,1540,10
1405,153,8
1405,424,10
85552,740,8
85552,490,10
141,1542,8
4629,1576,10
1447,160,10
1447,1576,10
918,1542,9
918,1352,4
213895,1436,10
71912,1013,8
71912,840,7
71912,167,8
71912,1436,1
71912,1542,9
71912,172,7
71912,172,7
71912,173,6
71912,1077,6
71912,730,2
71912,1436,1
71912,907,4
30984,1286,7
94997,1077,5
1973,1243,8
1403,1472,7
1403,1126,9
4607,184,10
46296,1542,8
580,1576,7
124364,1331,7
124364,188,10
124364,190,10
1705,1243,7
3452,1542,8
235924,1595,8
32798,1542,9
76669,1436,1
4586,1594,8
4586,1243,8
734,1542,9
734,1576,10
81356,718,8
81356,1576,1
56570,1456,5
56570,1436,10
56570,1456,5
56570,1436,10
